item_code,item_description,category,supplier_code,buy_price,sell_price_ll,dealer_price_ll
MOUSE001,Wireless Mouse,Accessories,SUP001,5000,8500,8000
MOUSE002,Wired Mouse,Accessories,SUP001,3000,5500,5200
KB001,USB Keyboard,Accessories,SUP002,7000,12000,11000
KB002,Wireless Keyboard,Accessories,SUP002,12000,19000,17500
BAG001,"Laptop Bag 15.6""",Accessories,SUP001,6500,13500,12500
BAG002,Laptop Backpack,Accessories,SUP001,10000,19000,17500
HEAD001,USB Headset,Accessories,SUP003,9000,16000,15000
CAM001,Webcam,Accessories,SUP003,12000,22000,20500
PAD001,Mouse Pad,Accessories,SUP004,2500,5000,4500
HUB001,USB Hub,Accessories,SUP003,7000,12500,11500
RAM001,8GB DDR4 RAM,Components,SUP001,55000,72000,68000
RAM002,16GB DDR4 RAM,Components,SUP001,95000,125000,118000
PSU001,500W Power Supply,Components,SUP003,65000,85000,80000
FAN001,CPU Cooling Fan,Components,SUP003,18000,30000,28000
SSD001,256GB SSD,Storage,SUP002,55000,75000,70000
SSD002,512GB SSD,Storage,SUP002,80000,105000,98000
SSD003,1TB SSD,Storage,SUP002,145000,185000,175000
HDD001,1TB HDD,Storage,SUP004,85000,110000,103000
ROUT001,WiFi Router,Networking,SUP005,45000,65000,60000
ROUT002,Dual Band Router,Networking,SUP005,75000,105000,98000
LAN001,LAN Cable 5m,Networking,SUP004,5000,9000,8500
SW001,8-Port Network Switch,Networking,SUP005,55000,80000,75000
SOFT001,Antivirus License,Software,SUP006,30000,55600,52000
SOFT002,Windows License,Software,SUP006,85000,110000,103000
SOFT003,Office License,Software,SUP006,90000,125000,118000
LAP001,Business Laptop,Computer,SUP007,1800000,2100000,2000000
LAP002,Student Laptop,Computer,SUP007,1450000,1750000,1650000
LAP003,Gaming Laptop,Computer,SUP007,2800000,3300000,3100000
DESK001,Office Desktop PC,Computer,SUP007,1200000,1500000,1400000
MON001,24-inch Monitor,Computer,SUP007,350000,450000,425000
MON002,27-inch Monitor,Computer,SUP007,500000,650000,610000
